2018-10-17 16:44:20 INFO: charge_server start
2018-10-17 16:44:20 INFO: #0 charging...
2018-10-17 16:44:20 INFO: #1 charging...
2018-10-17 16:44:21 INFO: #0 charging...
2018-10-17 16:44:21 INFO: #1 charging...
2018-10-17 16:44:22 INFO: #0 charging...
2018-10-17 16:44:22 INFO: #1 charging...
2018-10-17 16:44:23 INFO: #0 charging...
2018-10-17 16:44:23 INFO: #1 charging...
2018-10-17 16:44:24 INFO: #0 charging...
2018-10-17 16:44:24 INFO: #1 charging...
2018-10-17 16:44:25 INFO: #0 charging...
2018-10-17 16:44:25 INFO: #1 charging...
2018-10-17 16:44:26 INFO: #0 charging...
2018-10-17 16:44:26 INFO: #1 charging...
2018-10-17 16:44:27 INFO: #0 charging...
2018-10-17 16:44:27 INFO: #1 charging...
2018-10-17 16:44:28 INFO: #0 charging...
2018-10-17 16:44:28 INFO: #1 charging...
2018-10-17 16:44:29 INFO: #0 charging...
2018-10-17 16:44:29 INFO: #1 charging...
2018-10-17 16:44:30 INFO: #0 charging...
2018-10-17 16:44:30 INFO: #1 charging...
2018-10-17 16:44:31 INFO: #0 charging...
2018-10-17 16:44:31 INFO: #1 charging...
2018-10-17 16:44:32 INFO: #0 charging...
2018-10-17 16:44:32 INFO: #1 charging...
2018-10-17 16:44:33 INFO: #0 charging...
2018-10-17 16:44:33 INFO: #1 charging...
2018-10-17 16:44:34 INFO: #0 charging...
2018-10-17 16:44:34 INFO: #1 charging...
2018-10-17 16:44:35 INFO: #0 charging...
2018-10-17 16:44:35 INFO: #1 charging...
2018-10-17 16:44:36 INFO: #0 charging...
2018-10-17 16:44:36 INFO: #1 charging...
2018-10-17 16:53:46 INFO: #0 charging...
2018-10-17 16:53:46 INFO: #1 charging...
2018-10-17 16:53:47 INFO: #0 charging...
2018-10-17 16:53:47 INFO: #1 charging...
2018-10-17 16:53:48 INFO: #0 charging...
2018-10-17 16:53:48 INFO: #1 charging...
2018-10-17 16:53:49 INFO: #0 charging...
2018-10-17 16:53:49 INFO: #1 charging...
2018-10-17 16:53:50 INFO: #0 charging...
2018-10-17 16:53:50 INFO: #1 charging...
2018-10-17 16:53:51 INFO: #0 charging...
2018-10-17 16:53:51 INFO: #1 charging...
2018-10-17 16:53:52 INFO: #0 charging...
2018-10-17 16:53:52 INFO: #1 charging...
2018-10-17 16:53:53 INFO: #0 charging...
2018-10-17 16:53:53 INFO: #1 charging...
2018-10-17 16:53:54 INFO: #0 charging...
2018-10-17 16:53:54 INFO: #1 charging...
2018-10-17 16:53:55 INFO: #0 charging...
2018-10-17 16:53:55 INFO: #1 charging...
2018-10-17 16:53:56 INFO: #0 charging...
2018-10-17 16:53:56 INFO: #1 charging...
2018-10-17 16:53:57 INFO: #0 charging...
2018-10-17 16:53:57 INFO: #1 charging...
2018-10-17 16:53:58 INFO: #0 charging...
2018-10-17 16:53:58 INFO: #1 charging...
2018-10-17 16:53:59 INFO: #0 charging...
2018-10-17 16:53:59 INFO: #1 charging...
2018-10-17 16:54:00 INFO: #0 charging...
2018-10-17 16:54:00 INFO: #1 charging...
2018-10-17 16:54:01 INFO: #0 charging...
2018-10-17 16:54:01 INFO: #1 charging...
2018-10-17 16:54:02 INFO: #0 charging...
2018-10-17 16:54:02 INFO: #1 charging...
2018-10-17 16:54:03 INFO: #0 charging...
2018-10-17 16:54:03 INFO: #1 charging...
2018-10-17 16:54:04 INFO: #0 charging...
2018-10-17 16:54:04 INFO: #1 charging...
2018-10-17 16:54:05 INFO: #0 charging...
2018-10-17 16:54:05 INFO: #1 charging...
2018-10-17 16:54:06 INFO: #0 charging...
2018-10-17 16:54:06 INFO: #1 charging...
2018-10-17 16:54:07 INFO: #0 charging...
2018-10-17 16:54:07 INFO: #1 charging...
2018-10-17 16:54:08 INFO: #0 charging...
2018-10-17 16:54:08 INFO: #1 charging...
2018-10-17 16:54:09 INFO: #0 charging...
2018-10-17 16:54:09 INFO: #1 charging...
2018-10-17 16:54:10 INFO: #0 charging...
2018-10-17 16:54:10 INFO: #1 charging...
2018-10-17 16:54:11 INFO: #0 charging...
2018-10-17 16:54:11 INFO: #1 charging...
2018-10-17 16:54:12 INFO: #0 charging...
2018-10-17 16:54:12 INFO: #1 charging...
2018-10-17 16:54:13 INFO: #0 charging...
2018-10-17 16:54:13 INFO: #1 charging...
2018-10-17 16:54:14 INFO: #0 charging...
2018-10-17 16:54:14 INFO: #1 charging...
2018-10-17 16:54:15 INFO: #0 charging...
2018-10-17 16:54:15 INFO: #1 charging...
2018-10-17 16:54:16 INFO: #0 charging...
2018-10-17 16:54:16 INFO: #1 charging...
