2018-10-21 13:25:17 INFO: charge_server start
2018-10-21 13:25:17 INFO: #0 charging...
2018-10-21 13:25:17 INFO: #1 charging...
2018-10-21 13:25:18 INFO: #0 charging...
2018-10-21 13:25:18 INFO: #1 charging...
2018-10-21 13:25:19 INFO: #0 charging...
2018-10-21 13:25:19 INFO: #1 charging...
2018-10-21 13:25:20 INFO: #0 charging...
2018-10-21 13:25:20 INFO: #1 charging...
2018-10-21 13:25:21 INFO: #0 charging...
2018-10-21 13:25:21 INFO: #1 charging...
2018-10-21 13:25:22 INFO: #0 charging...
2018-10-21 13:25:22 INFO: #1 charging...
2018-10-21 13:25:23 INFO: #0 charging...
2018-10-21 13:25:23 INFO: #1 charging...
2018-10-21 13:25:24 INFO: #0 charging...
2018-10-21 13:25:24 INFO: #1 charging...
2018-10-21 13:25:25 INFO: #0 charging...
2018-10-21 13:25:25 INFO: #1 charging...
2018-10-21 13:25:26 INFO: #0 charging...
2018-10-21 13:25:26 INFO: #1 charging...
2018-10-21 13:25:27 INFO: #0 charging...
2018-10-21 13:25:27 INFO: #1 charging...
2018-10-21 13:25:28 INFO: #0 charging...
2018-10-21 13:25:28 INFO: #1 charging...
2018-10-21 13:25:29 INFO: #0 charging...
2018-10-21 13:25:29 INFO: #1 charging...
2018-10-21 13:25:30 INFO: #0 charging...
2018-10-21 13:25:30 INFO: #1 charging...
2018-10-21 13:25:31 INFO: #0 charging...
2018-10-21 13:25:31 INFO: #1 charging...
2018-10-21 13:25:32 INFO: #0 charging...
2018-10-21 13:25:32 INFO: #1 charging...
2018-10-21 13:25:33 INFO: #0 charging...
2018-10-21 13:25:33 INFO: #1 charging...
2018-10-21 13:25:34 INFO: #0 charging...
2018-10-21 13:25:34 INFO: #1 charging...
2018-10-21 13:25:35 INFO: #0 charging...
2018-10-21 13:25:35 INFO: #1 charging...
2018-10-21 13:25:36 INFO: #0 charging...
2018-10-21 13:25:36 INFO: #1 charging...
2018-10-21 13:25:37 INFO: #0 charging...
2018-10-21 13:25:37 INFO: #1 charging...
2018-10-21 13:25:38 INFO: #0 charging...
2018-10-21 13:25:38 INFO: #1 charging...
2018-10-21 13:25:39 INFO: #0 charging...
2018-10-21 13:25:39 INFO: #1 charging...
2018-10-21 13:25:40 INFO: #0 charging...
2018-10-21 13:25:40 INFO: #1 charging...
2018-10-21 13:25:48 INFO: #0 charging...
2018-10-21 13:25:48 INFO: #1 charging...
2018-10-21 13:25:49 INFO: #0 charging...
2018-10-21 13:25:49 INFO: #1 charging...
2018-10-21 13:25:50 INFO: #0 charging...
2018-10-21 13:25:50 INFO: #1 charging...
2018-10-21 13:25:51 INFO: #0 charging...
2018-10-21 13:25:51 INFO: #1 charging...
2018-10-21 13:25:52 INFO: #0 charging...
2018-10-21 13:25:52 INFO: #1 charging...
2018-10-21 13:25:53 INFO: #0 charging...
2018-10-21 13:25:53 INFO: #1 charging...
2018-10-21 13:25:54 INFO: #0 charging...
2018-10-21 13:25:54 INFO: #1 charging...
2018-10-21 13:25:55 INFO: #0 charging...
2018-10-21 13:25:55 INFO: #1 charging...
2018-10-21 13:25:56 INFO: #0 charging...
2018-10-21 13:25:56 INFO: #1 charging...
