2018-10-17 16:40:51 INFO: charge_server start
2018-10-17 16:40:51 INFO: #0 charging...
2018-10-17 16:40:51 INFO: #1 charging...
2018-10-17 16:40:52 INFO: #0 charging...
2018-10-17 16:40:52 INFO: #1 charging...
2018-10-17 16:40:53 INFO: #0 charging...
2018-10-17 16:40:53 INFO: #1 charging...
2018-10-17 16:40:54 INFO: #0 charging...
2018-10-17 16:40:54 INFO: #1 charging...
2018-10-17 16:40:55 INFO: #0 charging...
2018-10-17 16:40:55 INFO: #1 charging...
2018-10-17 16:40:56 INFO: #0 charging...
2018-10-17 16:40:56 INFO: #1 charging...
2018-10-17 16:40:57 INFO: #0 charging...
2018-10-17 16:40:57 INFO: #1 charging...
2018-10-17 16:40:58 INFO: #0 charging...
2018-10-17 16:40:58 INFO: #1 charging...
2018-10-17 16:40:59 INFO: #0 charging...
2018-10-17 16:40:59 INFO: #1 charging...
2018-10-17 16:41:00 INFO: #0 charging...
2018-10-17 16:41:00 INFO: #1 charging...
2018-10-17 16:41:01 INFO: #0 charging...
2018-10-17 16:41:01 INFO: #1 charging...
2018-10-17 16:41:02 INFO: #0 charging...
2018-10-17 16:41:02 INFO: #1 charging...
2018-10-17 16:41:03 INFO: #0 charging...
2018-10-17 16:41:03 INFO: #1 charging...
2018-10-17 16:42:25 INFO: #0 charging...
2018-10-17 16:42:25 INFO: #1 charging...
2018-10-17 16:42:26 INFO: #0 charging...
2018-10-17 16:42:26 INFO: #1 charging...
2018-10-17 16:42:27 INFO: #0 charging...
2018-10-17 16:42:27 INFO: #1 charging...
2018-10-17 16:42:28 INFO: #0 charging...
2018-10-17 16:42:28 INFO: #1 charging...
2018-10-17 16:42:29 INFO: #0 charging...
2018-10-17 16:42:29 INFO: #1 charging...
2018-10-17 16:42:30 INFO: #0 charging...
2018-10-17 16:42:30 INFO: #1 charging...
2018-10-17 16:42:31 INFO: #0 charging...
2018-10-17 16:42:31 INFO: #1 charging...
2018-10-17 16:42:32 INFO: #0 charging...
2018-10-17 16:42:32 INFO: #1 charging...
2018-10-17 16:42:33 INFO: #0 charging...
2018-10-17 16:42:33 INFO: #1 charging...
2018-10-17 16:42:34 INFO: #0 charging...
2018-10-17 16:42:34 INFO: #1 charging...
2018-10-17 16:42:35 INFO: #0 charging...
2018-10-17 16:42:35 INFO: #1 charging...
2018-10-17 16:42:36 INFO: #0 charging...
2018-10-17 16:42:36 INFO: #1 charging...
2018-10-17 16:42:37 INFO: #0 charging...
2018-10-17 16:42:37 INFO: #1 charging...
2018-10-17 16:42:38 INFO: #0 charging...
2018-10-17 16:42:38 INFO: #1 charging...
2018-10-17 16:42:39 INFO: #0 charging...
2018-10-17 16:42:39 INFO: #1 charging...
2018-10-17 16:42:40 INFO: #0 charging...
