2018-10-21 12:43:17 INFO: charge_server start
2018-10-21 12:43:17 INFO: #0 charging...
2018-10-21 12:43:17 INFO: #1 charging...
2018-10-21 12:43:18 INFO: #0 charging...
2018-10-21 12:43:18 INFO: #1 charging...
2018-10-21 12:43:19 INFO: #0 charging...
2018-10-21 12:43:19 INFO: #1 charging...
2018-10-21 12:43:20 INFO: #0 charging...
2018-10-21 12:43:20 INFO: #1 charging...
2018-10-21 12:43:21 INFO: #0 charging...
2018-10-21 12:43:21 INFO: #1 charging...
2018-10-21 12:43:22 INFO: #0 charging...
2018-10-21 12:43:22 INFO: #1 charging...
2018-10-21 12:43:23 INFO: #0 charging...
2018-10-21 12:43:23 INFO: #1 charging...
2018-10-21 12:43:24 INFO: #0 charging...
2018-10-21 12:43:24 INFO: #1 charging...
2018-10-21 12:43:25 INFO: #0 charging...
2018-10-21 12:43:25 INFO: #1 charging...
2018-10-21 12:43:26 INFO: #0 charging...
2018-10-21 12:43:26 INFO: #1 charging...
2018-10-21 12:43:27 INFO: #0 charging...
2018-10-21 12:43:27 INFO: #1 charging...
2018-10-21 12:43:28 INFO: #0 charging...
2018-10-21 12:43:28 INFO: #1 charging...
2018-10-21 12:43:29 INFO: #0 charging...
2018-10-21 12:43:29 INFO: #1 charging...
2018-10-21 12:43:30 INFO: #0 charging...
2018-10-21 12:43:30 INFO: #1 charging...
2018-10-21 12:43:31 INFO: #0 charging...
2018-10-21 12:43:31 INFO: #1 charging...
2018-10-21 12:43:39 INFO: #0 charging...
2018-10-21 12:43:39 INFO: #1 charging...
2018-10-21 12:43:40 INFO: #0 charging...
2018-10-21 12:43:40 INFO: #1 charging...
2018-10-21 12:43:41 INFO: #0 charging...
2018-10-21 12:43:41 INFO: #1 charging...
2018-10-21 12:43:42 INFO: #0 charging...
2018-10-21 12:43:42 INFO: #1 charging...
2018-10-21 12:43:43 INFO: #0 charging...
2018-10-21 12:43:43 INFO: #1 charging...
2018-10-21 12:43:44 INFO: #0 charging...
2018-10-21 12:43:44 INFO: #1 charging...
2018-10-21 12:43:45 INFO: #0 charging...
2018-10-21 12:43:45 INFO: #1 charging...
2018-10-21 12:43:46 INFO: #0 charging...
2018-10-21 12:43:46 INFO: #1 charging...
2018-10-21 12:43:47 INFO: #0 charging...
2018-10-21 12:43:47 INFO: #1 charging...
2018-10-21 12:43:48 INFO: #0 charging...
2018-10-21 12:43:48 INFO: #1 charging...
2018-10-21 12:43:49 INFO: #0 charging...
2018-10-21 12:43:49 INFO: #1 charging...
2018-10-21 12:43:50 INFO: #0 charging...
2018-10-21 12:43:50 INFO: #1 charging...
2018-10-21 12:43:51 INFO: #0 charging...
2018-10-21 12:43:51 INFO: #1 charging...
2018-10-21 12:43:52 INFO: #0 charging...
2018-10-21 12:43:52 INFO: #1 charging...
2018-10-21 12:43:53 INFO: #0 charging...
2018-10-21 12:43:53 INFO: #1 charging...
2018-10-21 12:43:54 INFO: #0 charging...
2018-10-21 12:43:54 INFO: #1 charging...
2018-10-21 12:43:55 INFO: #0 charging...
2018-10-21 12:43:55 INFO: #1 charging...
2018-10-21 12:43:56 INFO: #0 charging...
2018-10-21 12:43:56 INFO: #1 charging...
