2018-10-21 13:23:37 INFO: charge_server start
2018-10-21 13:23:37 INFO: #0 charging...
2018-10-21 13:23:37 INFO: #1 charging...
2018-10-21 13:23:38 INFO: #0 charging...
2018-10-21 13:23:38 INFO: #1 charging...
2018-10-21 13:23:39 INFO: #0 charging...
2018-10-21 13:23:39 INFO: #1 charging...
2018-10-21 13:23:40 INFO: #0 charging...
2018-10-21 13:23:40 INFO: #1 charging...
2018-10-21 13:23:41 INFO: #0 charging...
2018-10-21 13:23:41 INFO: #1 charging...
2018-10-21 13:23:42 INFO: #0 charging...
2018-10-21 13:23:42 INFO: #1 charging...
2018-10-21 13:23:43 INFO: #0 charging...
2018-10-21 13:23:43 INFO: #1 charging...
2018-10-21 13:23:44 INFO: #0 charging...
2018-10-21 13:23:44 INFO: #1 charging...
2018-10-21 13:23:45 INFO: #0 charging...
2018-10-21 13:23:45 INFO: #1 charging...
2018-10-21 13:23:46 INFO: #0 charging...
2018-10-21 13:23:46 INFO: #1 charging...
2018-10-21 13:23:47 INFO: #0 charging...
2018-10-21 13:23:47 INFO: #1 charging...
2018-10-21 13:23:48 INFO: #0 charging...
2018-10-21 13:23:48 INFO: #1 charging...
2018-10-21 13:23:49 INFO: #0 charging...
2018-10-21 13:23:49 INFO: #1 charging...
2018-10-21 13:23:50 INFO: #0 charging...
2018-10-21 13:23:50 INFO: #1 charging...
2018-10-21 13:23:51 INFO: #0 charging...
2018-10-21 13:23:51 INFO: #1 charging...
2018-10-21 13:23:59 INFO: #0 charging...
2018-10-21 13:23:59 INFO: #1 charging...
2018-10-21 13:24:00 INFO: #0 charging...
2018-10-21 13:24:00 INFO: #1 charging...
2018-10-21 13:24:01 INFO: #0 charging...
2018-10-21 13:24:01 INFO: #1 charging...
2018-10-21 13:24:02 INFO: #0 charging...
2018-10-21 13:24:02 INFO: #1 charging...
2018-10-21 13:24:03 INFO: #0 charging...
2018-10-21 13:24:03 INFO: #1 charging...
2018-10-21 13:24:04 INFO: #0 charging...
2018-10-21 13:24:04 INFO: #1 charging...
2018-10-21 13:24:05 INFO: #0 charging...
2018-10-21 13:24:05 INFO: #1 charging...
2018-10-21 13:24:06 INFO: #########################################
